Group,Item,Type,Open limit,Short limit
adj,a01-a02,res,20000000,5
adj,a02-a03,res,20000000,5
adj,a03-a04,res,20000000,5
adj,a04-a05,res,20000000,5
adj,a05-a06,res,20000000,5
adj,a06-a07,res,20000000,5
adj,a07-a08,res,20000000,5
adj,a08-a09,res,20000000,5
adj,a09-a10,res,20000000,5
adj,a10-a11,res,20000000,5
adj,a11-a12,res,20000000,5
adj,b01-b02,res,20000000,5
adj,b02-b03,res,20000000,5
adj,b03-b04,res,20000000,5
adj,b04-b05,res,20000000,5
adj,b05-b06,res,20000000,5
adj,b06-b07,res,20000000,5
adj,b07-b08,res,20000000,5
adj,b08-b09,res,20000000,5
adj,b09-b10,res,20000000,5
adj,b10-b11,res,20000000,5
adj,b11-b12,res,20000000,5
adj,a02-b11,res,20000000,5
adj,a03-b10,res,20000000,5
adj,a05-b08,res,20000000,5
adj,a06-b07,res,20000000,5
adj,a07-b06,res,20000000,5
adj,a08-b05,res,20000000,5
adj,a10-b03,res,20000000,5
adj,a11-b02,res,20000000,5
gnd,a02,vdrp,2500,50
gnd,a03,vdrp,2500,50
gnd,a04,vdrp,600,50
gnd,a05,vdrp,2500,50
gnd,a06,vdrp,2500,50
gnd,a07,vdrp,2500,50
gnd,a08,vdrp,2500,50
gnd,a09,vdrp,600,50
gnd,a02,cap,100,1800
gnd,a03,cap,100,1800
gnd,a10,cap,100,1800
gnd,a11,cap,100,1800
gnd,b02,vdrp,2500,50
gnd,b03,vdrp,2500,50
gnd,b04,vdrp,600,50
gnd,b05,vdrp,2500,50
gnd,b06,vdrp,2500,50
gnd,b07,vdrp,2500,50
gnd,b08,vdrp,2500,50
gnd,b09,vdrp,600,50
gnd,b10,cap,100,1800
gnd,b11,cap,100,1800
gnd,b02,cap,100,1800
gnd,b03,cap,100,1800
