Group,Item,Type,Open limit,Short limit

adj,a02-a03,vdrp,-1,250
adj,a06-a07,vdrp,-1,250
adj,a10-a11,vdrp,-1,250
adj,b02-b03,vdrp,-1,250
adj,b06-b07,vdrp,-1,250
adj,b10-b11,vdrp,-1,250
gnd,a02,cap2,200,600
gnd,a03,cap2,200,600
gnd,a04,vdrp,600,100
gnd,a04,dds2,-1,250
gnd,a05,vdrp,2500,100
gnd,a06,vdrp,-1,250
gnd,a07,vdrp,-1,250
gnd,a08,vdrp,-1,250
gnd,a09,vdrp,600,100
gnd,a10,cap2,200,600
gnd,a11,cap2,200,600
gnd,b02,cap2,200,600
gnd,b03,cap2,200,600
gnd,b04,vdrp,600,100
gnd,b05,vdrp,2500,100

gnd,b06,vdrp,-1,250
gnd,b07,vdrp,-1,250
gnd,b08,vdrp,-1,250
gnd,b09,vdrp,600,100
gnd,b10,cap2,200,600
gnd,b11,cap2,200,600
gnd,a02,dds,2000,800
gnd,a03,dds,2000,800
gnd,a10,dds,2000,800
gnd,a11,dds,2000,800
gnd,b02,dds,2000,800
gnd,b03,dds,2000,800
gnd,b10,dds,2000,800
gnd,b11,dds,2000,800
